DT_NOTIFIC,CASO_SRAG
2024-12-29,135
2024-12-30,482
2024-12-31,218
2025-01-01,134
2025-01-02,409
2025-01-03,281
2025-01-04,65
2025-01-05,47
2025-01-06,201
2025-01-07,146
2025-01-08,115
2025-01-09,65
2025-01-10,60
2025-01-11,9
2025-01-12,10
2025-01-13,42
2025-01-14,34
2025-01-15,52
2025-01-16,24
2025-01-17,30
2025-01-18,1
2025-01-19,1
2025-01-20,17
2025-01-21,16
2025-01-22,10
2025-01-23,26
2025-01-24,32
2025-01-25,2
2025-01-27,11
2025-01-28,17
2025-01-29,23
2025-01-30,12
2025-01-31,8
2025-02-03,14
2025-02-04,8
2025-02-05,3
2025-02-06,9
2025-02-07,7
