,Unnamed: 0,dep,jour,incid_hosp,incid_rea,incid_dc,incid_rad,day,Estimativa
14,14,1,2020-04-02,34,7,2,19,14,22.621727524320754
15,15,1,2020-04-03,15,4,3,13,15,21.561683823983174
16,16,1,2020-04-04,25,8,5,9,16,20.5513132816932
17,17,1,2020-04-05,12,4,2,3,17,19.588288236214186
18,18,1,2020-04-06,11,3,1,6,18,18.670390099439636
19,19,1,2020-04-07,15,3,2,5,19,17.795504245276724
20,20,1,2020-04-08,19,8,4,9,20,16.961615138034343
21,21,1,2020-04-09,13,3,4,8,21,16.166801689092686
22,22,1,2020-04-10,17,2,5,8,22,15.409232831157103
23,23,1,2020-04-11,7,3,2,15,23,14.687163299900401
24,24,1,2020-04-12,4,2,0,4,24,13.998929613275441
25,25,1,2020-04-13,13,1,2,3,25,13.342946239235248
26,26,1,2020-04-14,14,1,2,5,26,12.717701943032056
27,27,1,2020-04-15,35,0,6,28,27,12.121756305680167
28,28,1,2020-04-16,16,1,0,3,28,11.553736405562066
29,29,1,2020-04-17,9,2,3,9,29,11.012333655532933
30,30,1,2020-04-18,31,3,5,5,30,10.496300788236972
31,31,1,2020-04-19,3,1,0,1,31,10.004448982690437
32,32,1,2020-04-20,4,2,2,3,32,9.535645125511623
33,33,1,2020-04-21,12,3,2,11,33,9.088809200488392
34,34,1,2020-04-22,13,1,4,15,34,8.662911800469328
35,35,1,2020-04-23,10,0,4,9,35,8.256971755846529
36,36,1,2020-04-24,7,1,1,5,36,7.870053874166613
37,37,1,2020-04-25,4,0,2,5,37,7.501266785662498
38,38,1,2020-04-26,4,0,0,1,38,7.149760889742562
39,39,1,2020-04-27,4,0,0,7,39,6.8147263977063846
40,40,1,2020-04-28,4,0,3,4,40,6.495391467177919
41,41,1,2020-04-29,14,0,1,11,41,6.19102042395826
42,42,1,2020-04-30,8,2,1,8,42,5.900912067201572
43,43,1,2020-05-01,4,0,1,5,43,5.624398054009698
44,44,1,2020-05-02,1,1,0,0,44,5.360841359723905
45,45,1,2020-05-03,1,0,0,0,45,5.109634810366658
46,46,1,2020-05-04,2,0,0,2,46,4.87019968385249
47,47,1,2020-05-05,7,2,4,12,47,4.641984376745483
48,48,1,2020-05-06,8,0,0,14,48,4.424463133491881
49,49,1,2020-05-07,1,0,0,7,49,4.2171348352002695
50,50,1,2020-05-08,1,0,0,2,50,4.019521845178968
51,51,1,2020-05-09,1,0,1,3,51,3.8311689085709935
52,52,1,2020-05-10,3,0,0,1,52,3.6516421035516315
53,53,1,2020-05-11,6,2,2,6,53,3.4805278416723935
54,54,1,2020-05-12,4,1,0,2,54,3.31743191504841
55,55,1,2020-05-13,6,0,0,4,55,3.161978588194167
56,56,1,2020-05-14,4,0,0,4,56,3.013809732415404
57,57,1,2020-05-15,4,0,1,5,57,2.8725840007630223
58,58,1,2020-05-16,1,0,1,2,58,2.7379760416482464
59,59,1,2020-05-17,1,0,0,1,59,2.609675749307439
60,60,1,2020-05-18,1,0,0,5,60,2.487387549389773
61,61,1,2020-05-19,5,0,2,13,61,2.370829718021945
62,62,1,2020-05-20,2,0,0,6,62,2.259733732781192
63,63,1,2020-05-21,0,0,1,4,63,2.153843654081424
64,64,1,2020-05-22,0,0,1,1,64,2.052915535547309
65,65,1,2020-05-23,4,0,1,5,65,1.956716862017958
66,66,1,2020-05-24,0,0,0,0,66,1.8650260138854953
67,67,1,2020-05-25,1,0,0,1,67,1.7776317565344801
68,68,1,2020-05-26,2,0,0,10,68,1.694332753705961
69,69,1,2020-05-27,0,0,0,1,69,1.6149371036650584
70,70,1,2020-05-28,0,0,0,7,70,1.539261897103531
71,71,1,2020-05-29,0,0,0,0,71,1.4671327957588156
72,72,1,2020-05-30,2,0,0,9,72,1.3983836307787865
73,73,1,2020-05-31,0,0,0,0,73,1.332856019906957
74,74,1,2020-06-01,0,0,0,0,74,1.270399002606206
75,75,1,2020-06-02,1,0,0,2,75,1.210868692280435
76,76,1,2020-06-03,2,0,1,7,76,1.1541279447929629
77,77,1,2020-06-04,4,0,1,1,77,1.1000460425179919
78,78,1,2020-06-05,0,0,0,1,78,1.0484983931972758
79,79,1,2020-06-06,0,0,1,6,79,0.9993662429082265
80,80,1,2020-06-07,0,0,0,0,80,0.9525364024822042
81,81,1,2020-06-08,3,1,2,1,81,0.9079009867427162
82,82,1,2020-06-09,0,0,0,2,82,0.8653571659627962
83,83,1,2020-06-10,1,0,0,1,83,0.8248069289689755
84,84,1,2020-06-11,0,0,0,5,84,0.7861568573460924
85,85,1,2020-06-12,0,0,1,2,85,0.7493179102227588
86,86,1,2020-06-13,0,0,0,0,86,0.7142052191416826
87,87,1,2020-06-14,0,0,0,0,87,0.6807378925422701
88,88,1,2020-06-15,0,0,0,1,88,0.6488388294050846
89,89,1,2020-06-16,2,0,0,0,89,0.6184345416288388
90,90,1,2020-06-17,1,0,1,2,90,0.5894549847307193
91,91,1,2020-06-18,0,0,0,0,91,0.5618333964800163
92,92,1,2020-06-19,0,0,0,0,92,0.5355061430933062
93,93,1,2020-06-20,0,0,0,2,93,0.5104125726368572
94,94,1,2020-06-21,0,0,0,0,94,0.4864948752985306
95,95,1,2020-06-22,0,0,0,0,95,0.4636979502072755
96,96,1,2020-06-23,0,0,1,0,96,0.441969278493402
97,97,1,2020-06-24,1,0,0,3,97,0.4212588022971884
98,98,1,2020-06-25,2,0,0,5,98,0.4015188094470934
99,99,1,2020-06-26,0,0,0,0,99,0.3827038235418905
100,100,1,2020-06-27,0,0,0,4,100,0.3647704991835039
